episode,entropy,mean_team_return,consensus_rate,seconds
512,0.7612,0.584,0.832,1.5
1024,0.7046,0.7625,0.8516,2.9
1536,0.6243,0.6751,0.8359,4.4
2048,0.6074,0.5343,0.834,5.9
2560,0.611,0.7982,0.8457,7.4
3072,0.5685,0.6731,0.8203,8.9
3584,0.5891,0.7948,0.8359,10.4
4096,0.6105,0.7264,0.8418,11.9
4608,0.6166,0.7752,0.8496,13.4
5120,0.5571,1.1679,0.8672,14.9
5632,0.5906,0.7974,0.8242,16.4
6144,0.5372,0.7415,0.8105,17.9
6656,0.5016,0.8316,0.8281,19.4
7168,0.4553,1.0504,0.8398,20.8
7680,0.5199,0.9285,0.8223,22.3
8192,0.504,1.0293,0.8262,23.8
8704,0.4853,1.0725,0.8574,25.2
9216,0.4545,0.8761,0.8398,26.7
9728,0.4406,0.9602,0.8164,28.2
10240,0.3857,1.0102,0.8574,29.6
10752,0.4239,0.8076,0.8203,31.1
11264,0.4191,0.8829,0.834,32.6
11776,0.4844,0.9276,0.8438,34.0
12288,0.4982,1.1804,0.8438,35.5
12800,0.4294,1.1403,0.8398,36.9
13312,0.4063,1.1213,0.8379,38.3
13824,0.3774,1.023,0.8203,39.8
14336,0.2677,1.3787,0.8438,41.2
14848,0.3007,1.3247,0.8438,42.6
15360,0.2993,1.6671,0.832,44.0
15872,0.2368,1.4494,0.832,45.5
16384,0.1788,2.0058,0.8418,46.9
16896,0.1563,1.9674,0.832,48.4
17408,0.1563,1.7553,0.834,49.8
17920,0.1934,1.5921,0.7793,51.3
18432,0.1153,1.5429,0.8105,52.8
18944,0.1409,1.9428,0.8262,54.2
19456,0.1145,2.0775,0.8223,55.7
19968,0.1111,2.2212,0.834,57.1
20480,0.144,2.2396,0.832,58.6
20992,0.104,1.8761,0.8066,60.1
21504,0.1114,2.2261,0.8047,61.6
22016,0.1704,2.408,0.8281,63.0
22528,0.12,2.3643,0.8262,64.5
23040,0.1213,2.0997,0.8105,66.0
23552,0.0908,2.0345,0.8203,67.5
24064,0.0776,2.4192,0.8379,69.0
24576,0.1538,1.9745,0.7871,70.5
25088,0.0843,2.4174,0.8262,71.9
25600,0.1128,2.3558,0.8398,73.4
26112,0.0973,2.2985,0.8496,74.8
26624,0.0915,2.0842,0.8438,76.3
27136,0.1247,2.1384,0.8262,77.7
27648,0.1254,2.4668,0.8477,79.2
28160,0.1045,2.3759,0.8223,80.7
28672,0.1272,2.5663,0.8594,82.1
29184,0.1158,1.9989,0.8203,83.6
29696,0.091,2.0045,0.8281,85.1
30208,0.1454,2.3556,0.8496,86.5
30720,0.1469,1.9514,0.7988,88.0
31232,0.1595,2.3311,0.8223,89.5
31744,0.2387,2.3609,0.8301,91.0
32256,0.1572,2.393,0.8359,92.5
32768,0.1785,1.9908,0.7793,94.0
33280,0.1743,2.5155,0.8359,95.4
33792,0.1734,2.491,0.8145,97.0
34304,0.1412,2.0801,0.793,98.5
34816,0.1943,2.7202,0.8516,99.9
35328,0.1776,2.3557,0.8281,101.4
35840,0.1814,2.0376,0.834,102.9
36352,0.1591,2.2551,0.8066,104.4
36864,0.1553,2.0989,0.8145,105.9
37376,0.1378,2.166,0.8008,107.4
37888,0.149,2.7829,0.8359,108.9
38400,0.1226,2.4424,0.8281,110.4
38912,0.1127,2.2804,0.7988,111.9
39424,0.0892,2.3917,0.8555,113.4
39936,0.0975,2.4836,0.8652,114.9
40448,0.1237,2.8245,0.8477,116.4
40960,0.112,2.3107,0.8262,117.9
41472,0.1464,2.3191,0.8125,119.4
41984,0.1456,1.9927,0.8125,120.9
42496,0.1486,2.5628,0.8164,122.4
43008,0.1489,2.3663,0.8242,123.9
43520,0.1641,2.3983,0.8418,125.4
44032,0.1601,2.2466,0.8223,126.9
44544,0.14,2.1518,0.7969,128.4
45056,0.1402,2.6551,0.8359,129.9
45568,0.1316,2.6875,0.8379,131.4
46080,0.1466,2.6712,0.832,132.9
46592,0.1311,2.1336,0.8164,134.4
47104,0.1518,2.3634,0.8262,135.9
47616,0.1262,2.0792,0.8145,137.5
48128,0.1438,2.6255,0.8242,139.0
48640,0.1826,2.1024,0.8184,140.5
49152,0.1383,2.6014,0.8438,142.0
49664,0.1458,2.4167,0.8242,143.5
