episode,epsilon,mean_team_return,consensus_rate,seconds
500,0.986,0.5962,0.802,1.2
1000,0.973,0.5449,0.788,2.4
1500,0.959,0.6783,0.786,3.6
2000,0.946,0.6411,0.798,4.8
2500,0.932,0.937,0.828,6.0
3000,0.919,0.6035,0.802,7.1
3500,0.905,0.5184,0.798,8.3
4000,0.891,0.9791,0.83,9.5
4500,0.878,0.8747,0.824,10.7
5000,0.864,0.6119,0.808,11.9
5500,0.851,0.8066,0.798,13.1
6000,0.837,0.764,0.806,14.3
6500,0.824,1.023,0.832,15.5
7000,0.81,0.7714,0.802,16.6
7500,0.796,0.8925,0.818,17.8
8000,0.783,1.0068,0.806,19.0
8500,0.769,0.8012,0.796,20.2
9000,0.756,1.2582,0.832,21.4
9500,0.742,1.1495,0.834,22.6
10000,0.729,0.914,0.8,23.8
10500,0.715,1.1599,0.82,24.9
11000,0.701,1.1057,0.82,26.1
11500,0.688,0.8729,0.808,27.3
12000,0.674,0.9504,0.782,28.5
12500,0.661,1.1847,0.802,29.7
13000,0.647,1.1231,0.828,30.9
13500,0.634,1.3387,0.824,32.0
14000,0.62,1.1627,0.816,33.2
14500,0.606,1.1913,0.806,34.4
15000,0.593,1.048,0.83,35.6
15500,0.579,1.6597,0.86,36.7
16000,0.566,1.3932,0.822,37.9
16500,0.552,1.6079,0.834,39.1
17000,0.539,1.4999,0.824,40.3
17500,0.525,1.6261,0.832,41.4
18000,0.511,1.3985,0.8,42.6
18500,0.498,1.5794,0.818,43.8
19000,0.484,1.6194,0.83,45.0
19500,0.471,1.5488,0.816,46.2
20000,0.457,1.8277,0.842,47.4
20500,0.444,1.4618,0.822,48.5
21000,0.43,1.4378,0.816,49.7
21500,0.416,1.7368,0.802,50.9
22000,0.403,2.0066,0.826,52.1
22500,0.389,1.8788,0.816,53.2
23000,0.376,1.9545,0.848,54.4
23500,0.362,1.8948,0.818,55.6
24000,0.349,1.4448,0.808,56.8
24500,0.335,1.8256,0.86,57.9
25000,0.321,1.9768,0.84,59.1
25500,0.308,2.1069,0.836,60.3
26000,0.294,2.1343,0.83,61.4
26500,0.281,1.8885,0.818,62.6
27000,0.267,1.4028,0.8,63.8
27500,0.254,1.7661,0.842,65.0
28000,0.24,1.7575,0.81,66.1
28500,0.226,1.9853,0.794,67.3
29000,0.213,1.8466,0.8,68.5
29500,0.199,2.1558,0.808,69.7
30000,0.186,2.2313,0.812,70.8
30500,0.172,2.1005,0.848,72.0
31000,0.159,2.2134,0.83,73.2
31500,0.145,2.2167,0.812,74.3
32000,0.131,1.9737,0.828,75.5
32500,0.118,1.9975,0.822,76.7
33000,0.104,2.1361,0.834,77.8
33500,0.091,2.4427,0.844,79.0
34000,0.077,2.3334,0.794,80.2
34500,0.064,2.3322,0.79,81.3
35000,0.05,2.4425,0.832,82.5
35500,0.05,2.4061,0.83,83.7
36000,0.05,2.4908,0.836,84.8
36500,0.05,2.8722,0.848,86.0
37000,0.05,2.292,0.814,87.1
37500,0.05,2.3873,0.808,88.3
38000,0.05,2.4419,0.834,89.5
38500,0.05,2.5267,0.862,90.6
39000,0.05,2.4104,0.806,91.8
39500,0.05,2.5957,0.782,93.0
40000,0.05,2.9012,0.838,94.1
40500,0.05,2.4146,0.82,95.3
41000,0.05,2.7225,0.832,96.5
41500,0.05,2.5564,0.842,97.6
42000,0.05,2.4425,0.842,98.8
42500,0.05,2.4959,0.79,99.9
43000,0.05,2.6796,0.842,101.1
43500,0.05,2.4855,0.788,102.3
44000,0.05,2.2574,0.786,103.4
44500,0.05,2.9595,0.824,104.6
45000,0.05,2.6219,0.806,105.8
45500,0.05,2.9878,0.828,106.9
46000,0.05,3.0043,0.83,108.1
46500,0.05,2.7164,0.828,109.3
47000,0.05,2.2993,0.78,110.4
47500,0.05,2.9456,0.844,111.6
48000,0.05,2.4432,0.8,112.8
48500,0.05,2.8843,0.862,113.9
49000,0.05,2.4113,0.83,115.1
49500,0.05,2.487,0.796,116.3
50000,0.05,2.2878,0.79,117.4
