episode,entropy,mean_team_return,consensus_rate,seconds
512,0.7705,1.1744,0.8359,1.5
1024,0.6955,1.908,0.8281,2.9
1536,0.648,2.1656,0.8535,4.3
2048,0.6308,2.1622,0.834,5.8
2560,0.6161,2.3585,0.8438,7.2
3072,0.5646,2.487,0.8438,8.6
3584,0.5001,2.6674,0.8184,10.0
4096,0.4765,2.7541,0.8379,11.4
4608,0.4568,2.9003,0.8301,12.8
5120,0.4212,3.0136,0.8242,14.2
5632,0.3814,3.3776,0.8184,15.6
6144,0.3758,3.2693,0.8633,17.0
6656,0.383,3.4747,0.8359,18.4
7168,0.357,3.1292,0.8418,19.8
7680,0.317,3.4118,0.8008,21.3
8192,0.2994,3.5299,0.8203,22.7
8704,0.3076,3.6083,0.834,24.1
9216,0.3202,3.6333,0.8438,25.6
9728,0.2979,3.823,0.8418,27.0
10240,0.2954,3.2112,0.7871,28.4
10752,0.2741,3.4873,0.832,29.9
11264,0.3102,3.823,0.832,31.3
11776,0.2826,3.8463,0.832,32.7
12288,0.2821,3.742,0.8203,34.2
12800,0.2218,3.7934,0.8203,35.6
13312,0.1672,4.0108,0.8281,37.1
13824,0.1362,3.6914,0.8418,38.5
14336,0.1529,4.0519,0.8301,39.9
14848,0.1586,3.8096,0.8535,41.3
15360,0.1338,4.1322,0.832,42.8
15872,0.1482,3.9823,0.8535,44.2
16384,0.1427,4.1757,0.8477,45.7
16896,0.1375,4.4269,0.8262,47.1
17408,0.1357,4.4296,0.8281,48.6
17920,0.1339,4.0475,0.791,50.0
18432,0.1591,4.4575,0.8477,51.5
18944,0.1636,4.1034,0.8359,52.9
19456,0.1994,4.0769,0.8438,54.4
19968,0.1504,4.25,0.8535,55.8
20480,0.1738,3.9592,0.832,57.3
20992,0.1508,3.9283,0.8574,58.7
21504,0.1575,4.3399,0.8145,60.2
22016,0.1383,4.2663,0.834,61.6
22528,0.1334,4.0743,0.8203,63.1
23040,0.1283,4.408,0.8672,64.5
23552,0.1103,4.048,0.8262,66.0
24064,0.1042,4.2625,0.8262,67.4
24576,0.1218,4.1192,0.8672,68.9
25088,0.127,4.3782,0.8262,70.3
25600,0.1049,4.2312,0.8242,71.8
26112,0.0942,3.8844,0.8496,73.2
26624,0.1053,3.9385,0.8613,74.6
27136,0.1083,4.0989,0.8594,76.0
27648,0.108,4.2255,0.8516,77.5
28160,0.1061,4.3156,0.8301,78.9
28672,0.1026,4.2715,0.7949,80.4
29184,0.0666,3.971,0.8301,81.8
29696,0.0468,4.0585,0.8242,83.3
30208,0.0483,4.0668,0.8594,84.7
30720,0.0607,4.3692,0.834,86.1
31232,0.0515,4.4498,0.8574,87.6
31744,0.067,4.4391,0.8359,89.0
32256,0.0669,4.2657,0.8164,90.5
32768,0.0753,4.0215,0.8457,91.9
33280,0.0457,4.2747,0.8672,93.3
33792,0.0548,4.2805,0.8281,94.8
34304,0.0547,4.4634,0.8301,96.3
34816,0.0521,4.5849,0.8262,97.7
35328,0.0569,3.7336,0.832,99.1
35840,0.0586,3.9159,0.834,100.6
36352,0.0411,4.3844,0.8535,102.0
36864,0.0454,4.2597,0.8203,103.5
37376,0.0477,4.3364,0.8145,104.9
37888,0.066,3.9948,0.8398,106.4
38400,0.0586,4.1234,0.8613,107.8
38912,0.0421,4.2015,0.8418,109.3
39424,0.0421,4.4631,0.8398,110.7
39936,0.0435,4.5291,0.8398,112.2
40448,0.0687,4.015,0.8418,113.6
40960,0.0733,3.9736,0.8496,115.1
41472,0.0545,4.1273,0.8633,116.5
41984,0.0361,3.9658,0.8594,118.0
42496,0.0721,4.2202,0.8379,119.4
43008,0.0714,4.1786,0.8535,120.9
43520,0.0711,4.1476,0.8281,122.3
44032,0.058,3.9502,0.8379,123.8
44544,0.034,4.7196,0.8359,125.3
45056,0.0406,4.1733,0.8184,126.8
45568,0.0619,4.5255,0.8457,128.3
46080,0.0594,4.4154,0.8359,129.8
46592,0.0591,4.5137,0.8477,131.2
47104,0.0485,3.9974,0.7891,132.7
47616,0.0597,4.1515,0.8145,134.2
48128,0.0764,3.9029,0.8398,135.6
48640,0.0618,4.2869,0.8516,137.1
49152,0.0485,3.9821,0.8496,138.5
49664,0.0479,4.2166,0.8203,140.0
