episode,epsilon,mean_team_return,consensus_rate,seconds
500,0.986,0.0988,0.782,1.2
1000,0.973,0.0492,0.772,2.4
1500,0.959,0.1162,0.79,3.6
2000,0.946,-0.0163,0.77,4.8
2500,0.932,0.3508,0.81,6.0
3000,0.919,0.1173,0.786,7.2
3500,0.905,0.2204,0.798,8.4
4000,0.891,0.4131,0.816,9.5
4500,0.878,0.4928,0.822,10.7
5000,0.864,0.6436,0.83,11.9
5500,0.851,0.1901,0.778,13.1
6000,0.837,0.51,0.828,14.3
6500,0.824,0.6185,0.824,15.5
7000,0.81,0.5078,0.808,16.7
7500,0.796,0.7197,0.826,17.8
8000,0.783,0.2768,0.778,19.0
8500,0.769,0.5018,0.796,20.2
9000,0.756,0.9453,0.822,21.4
9500,0.742,0.9117,0.826,22.6
10000,0.729,0.4419,0.794,23.8
10500,0.715,0.7086,0.822,25.0
11000,0.701,0.7664,0.818,26.1
11500,0.688,0.6023,0.814,27.3
12000,0.674,0.8666,0.808,28.5
12500,0.661,0.7828,0.806,29.7
13000,0.647,0.8901,0.834,30.9
13500,0.634,0.7947,0.802,32.1
14000,0.62,1.0671,0.82,33.2
14500,0.606,0.677,0.798,34.4
15000,0.593,1.2228,0.85,35.6
15500,0.579,1.3441,0.844,36.8
16000,0.566,1.3542,0.854,38.0
16500,0.552,1.0084,0.82,39.1
17000,0.539,1.0775,0.832,40.3
17500,0.525,1.0976,0.802,41.5
18000,0.511,0.7305,0.792,42.7
18500,0.498,1.2925,0.82,43.9
19000,0.484,0.9241,0.822,45.0
19500,0.471,0.9947,0.8,46.2
20000,0.457,1.2391,0.808,47.4
20500,0.444,1.3154,0.828,48.6
21000,0.43,1.5555,0.846,49.7
21500,0.416,1.296,0.794,50.9
22000,0.403,1.3883,0.804,52.1
22500,0.389,1.2288,0.8,53.3
23000,0.376,1.5178,0.844,54.4
23500,0.362,1.4126,0.788,55.6
24000,0.349,1.1217,0.798,56.8
24500,0.335,1.6599,0.852,58.0
25000,0.321,1.681,0.822,59.1
25500,0.308,1.5804,0.814,60.3
26000,0.294,1.5833,0.832,61.5
26500,0.281,1.7495,0.848,62.7
27000,0.267,1.546,0.832,63.8
27500,0.254,1.66,0.854,65.0
28000,0.24,1.267,0.802,66.2
28500,0.226,1.4006,0.792,67.3
29000,0.213,1.226,0.8,68.5
29500,0.199,1.6669,0.826,69.7
30000,0.186,1.3231,0.786,70.8
30500,0.172,1.5116,0.852,72.0
31000,0.159,1.7025,0.836,73.2
31500,0.145,1.9018,0.82,74.3
32000,0.131,1.5566,0.836,75.5
32500,0.118,1.4758,0.806,76.7
33000,0.104,1.8763,0.86,77.8
33500,0.091,1.9714,0.858,79.0
34000,0.077,1.6342,0.834,80.2
34500,0.064,1.8469,0.828,81.4
35000,0.05,1.9212,0.856,82.6
35500,0.05,1.5137,0.8,83.8
36000,0.05,2.0175,0.85,85.0
36500,0.05,2.3913,0.846,86.2
37000,0.05,1.7872,0.834,87.3
37500,0.05,1.9564,0.812,88.5
38000,0.05,1.9464,0.832,89.7
38500,0.05,2.2534,0.85,90.9
39000,0.05,2.0829,0.808,92.1
39500,0.05,1.7783,0.816,93.3
40000,0.05,2.2425,0.85,94.5
40500,0.05,1.988,0.83,95.6
41000,0.05,2.1262,0.834,96.8
41500,0.05,1.9576,0.84,97.9
42000,0.05,1.9307,0.846,99.1
42500,0.05,2.0792,0.818,100.3
43000,0.05,2.0062,0.832,101.4
43500,0.05,2.0613,0.796,102.6
44000,0.05,2.0438,0.818,103.8
44500,0.05,2.159,0.83,104.9
45000,0.05,1.9475,0.822,106.1
45500,0.05,2.1764,0.83,107.3
46000,0.05,2.3783,0.816,108.4
46500,0.05,2.4203,0.842,109.6
47000,0.05,2.0004,0.792,110.8
47500,0.05,2.4396,0.812,111.9
48000,0.05,1.8045,0.794,113.1
48500,0.05,2.1536,0.858,114.2
49000,0.05,1.8388,0.834,115.4
49500,0.05,2.0329,0.8,116.6
50000,0.05,1.8534,0.796,117.7
