episode,epsilon,mean_team_return,consensus_rate,seconds
500,0.986,0.3262,0.8,1.2
1000,0.973,0.2818,0.79,2.4
1500,0.959,0.42,0.812,3.6
2000,0.946,0.3114,0.802,4.8
2500,0.932,0.3198,0.794,6.0
3000,0.919,0.3321,0.788,7.2
3500,0.905,0.4215,0.806,8.4
4000,0.891,0.614,0.82,9.5
4500,0.878,0.6601,0.82,10.7
5000,0.864,0.6149,0.808,11.9
5500,0.851,0.3687,0.776,13.1
6000,0.837,0.6231,0.826,14.3
6500,0.824,0.5183,0.814,15.5
7000,0.81,0.374,0.784,16.7
7500,0.796,0.5542,0.81,17.9
8000,0.783,0.13,0.748,19.1
8500,0.769,0.5867,0.8,20.3
9000,0.756,0.6624,0.798,21.5
9500,0.742,0.737,0.812,22.7
10000,0.729,0.4565,0.796,23.8
10500,0.715,0.6723,0.81,25.0
11000,0.701,0.5918,0.812,26.2
11500,0.688,0.6605,0.798,27.4
12000,0.674,0.896,0.82,28.6
12500,0.661,0.7618,0.812,29.8
13000,0.647,0.9155,0.826,31.0
13500,0.634,1.1182,0.846,32.2
14000,0.62,0.7205,0.788,33.4
14500,0.606,0.8919,0.806,34.5
15000,0.593,1.0389,0.832,35.7
15500,0.579,0.927,0.828,36.9
16000,0.566,1.0526,0.828,38.1
16500,0.552,0.7481,0.802,39.3
17000,0.539,1.1277,0.83,40.5
17500,0.525,1.145,0.812,41.6
18000,0.511,0.6586,0.78,42.8
18500,0.498,0.8585,0.786,44.0
19000,0.484,1.0841,0.806,45.2
19500,0.471,1.1495,0.82,46.4
20000,0.457,1.1221,0.818,47.6
20500,0.444,1.1833,0.824,48.8
21000,0.43,0.9331,0.804,50.0
21500,0.416,0.9961,0.806,51.2
22000,0.403,1.1108,0.802,52.3
22500,0.389,1.0128,0.808,53.5
23000,0.376,1.3438,0.842,54.7
23500,0.362,0.8612,0.784,55.9
24000,0.349,0.9821,0.808,57.1
24500,0.335,0.9069,0.796,58.3
25000,0.321,1.257,0.822,59.5
25500,0.308,1.3543,0.822,60.7
26000,0.294,1.0577,0.814,61.8
26500,0.281,1.3992,0.842,63.0
27000,0.267,1.1949,0.83,64.2
27500,0.254,1.0495,0.824,65.3
28000,0.24,1.0759,0.806,66.5
28500,0.226,0.8191,0.74,67.7
29000,0.213,1.2497,0.816,68.9
29500,0.199,1.2749,0.816,70.1
30000,0.186,1.2576,0.828,71.3
30500,0.172,1.3053,0.84,72.4
31000,0.159,1.3225,0.794,73.6
31500,0.145,1.3894,0.814,74.8
32000,0.131,1.2601,0.812,76.0
32500,0.118,1.1269,0.812,77.2
33000,0.104,1.5218,0.85,78.4
33500,0.091,1.3795,0.804,79.6
34000,0.077,0.874,0.766,80.8
34500,0.064,1.0658,0.756,82.0
35000,0.05,1.2161,0.808,83.2
35500,0.05,1.1017,0.78,84.4
36000,0.05,1.3827,0.812,85.6
36500,0.05,1.5443,0.81,86.7
37000,0.05,1.353,0.814,87.9
37500,0.05,1.4065,0.818,89.1
38000,0.05,1.1291,0.806,90.3
38500,0.05,1.2936,0.824,91.4
39000,0.05,1.1543,0.794,92.6
39500,0.05,1.3049,0.798,93.8
40000,0.05,1.6905,0.864,95.0
40500,0.05,1.57,0.828,96.2
41000,0.05,1.4531,0.804,97.4
41500,0.05,1.4048,0.826,98.6
42000,0.05,1.4326,0.816,99.7
42500,0.05,1.4289,0.816,100.9
43000,0.05,1.2706,0.796,102.1
43500,0.05,1.5405,0.838,103.3
44000,0.05,1.2347,0.782,104.5
44500,0.05,1.52,0.842,105.7
45000,0.05,1.4339,0.802,106.8
45500,0.05,1.3468,0.806,108.0
46000,0.05,1.3504,0.802,109.2
46500,0.05,1.6619,0.826,110.4
47000,0.05,1.2873,0.804,111.6
47500,0.05,1.5149,0.838,112.7
48000,0.05,1.4857,0.804,113.9
48500,0.05,1.5087,0.818,115.1
49000,0.05,1.3568,0.792,116.3
49500,0.05,1.299,0.792,117.5
50000,0.05,1.3469,0.814,118.7
