episode,entropy,mean_team_return,consensus_rate,seconds
512,0.785,1.4966,0.8418,1.4
1024,0.7597,2.0624,0.8262,2.9
1536,0.6802,2.1861,0.8555,4.3
2048,0.6099,2.3072,0.8496,5.7
2560,0.576,2.8101,0.8398,7.1
3072,0.5276,2.8419,0.8008,8.5
3584,0.4928,2.953,0.7773,9.9
4096,0.5108,2.9585,0.8086,11.3
4608,0.5096,3.0631,0.8477,12.7
5120,0.5081,2.9482,0.8418,14.1
5632,0.4546,3.35,0.8223,15.5
6144,0.4237,3.2758,0.8477,16.9
6656,0.3971,3.4076,0.8477,18.3
7168,0.4247,3.2563,0.8535,19.7
7680,0.4258,3.3527,0.8359,21.1
8192,0.3924,3.3053,0.8086,22.6
8704,0.3704,3.4994,0.8242,24.0
9216,0.3791,3.5806,0.8281,25.4
9728,0.3479,3.9437,0.8535,26.9
10240,0.3309,3.3617,0.8164,28.3
10752,0.338,3.6353,0.8203,29.7
11264,0.3692,3.9897,0.8496,31.1
11776,0.3104,3.9952,0.8438,32.6
12288,0.3363,3.6939,0.8203,34.0
12800,0.3649,4.014,0.8223,35.5
13312,0.3626,3.9201,0.8281,36.9
13824,0.3457,3.6985,0.8574,38.3
14336,0.3078,4.1566,0.8125,39.8
14848,0.2925,3.8524,0.8633,41.2
15360,0.2746,4.293,0.8691,42.6
15872,0.2755,4.1407,0.8711,44.1
16384,0.2636,4.3164,0.834,45.5
16896,0.2578,4.4392,0.8301,47.0
17408,0.2494,4.3674,0.8379,48.4
17920,0.2434,4.0306,0.8301,49.9
18432,0.2476,4.358,0.8477,51.3
18944,0.2331,4.1064,0.8418,52.8
19456,0.2512,4.32,0.8359,54.2
19968,0.2421,4.2784,0.8496,55.7
20480,0.2585,4.0132,0.8516,57.1
20992,0.2479,4.2121,0.8457,58.5
21504,0.2588,4.5863,0.8105,60.0
22016,0.2545,4.2922,0.8301,61.5
22528,0.2514,4.2301,0.8262,62.9
23040,0.24,4.3434,0.8555,64.4
23552,0.2434,4.0587,0.8301,65.8
24064,0.2304,4.1819,0.8438,67.2
24576,0.2406,4.2718,0.8691,68.7
25088,0.2487,4.2488,0.8184,70.1
25600,0.2364,4.2281,0.8438,71.6
26112,0.2259,4.1414,0.8594,73.0
26624,0.2376,4.1517,0.8496,74.4
27136,0.2484,4.2202,0.8496,75.8
27648,0.2415,4.2899,0.8477,77.3
28160,0.2347,4.2389,0.834,78.7
28672,0.2312,4.2973,0.8027,80.2
29184,0.2527,4.1111,0.8496,81.6
29696,0.2321,4.3174,0.8398,83.1
30208,0.2224,4.0197,0.8672,84.5
30720,0.2297,4.3768,0.8574,86.0
31232,0.2212,4.4907,0.8496,87.4
31744,0.2394,4.5401,0.8438,88.8
32256,0.2347,4.4247,0.8164,90.3
32768,0.2559,4.1019,0.8594,91.7
33280,0.2205,4.0667,0.8691,93.2
33792,0.2239,4.4535,0.8418,94.6
34304,0.2037,4.4615,0.8301,96.1
34816,0.2243,4.5361,0.8516,97.5
35328,0.2297,3.844,0.8281,99.0
35840,0.2416,4.3444,0.8535,100.4
36352,0.2127,4.6892,0.8594,101.9
36864,0.2251,4.4027,0.834,103.3
37376,0.2177,4.2837,0.8281,104.8
37888,0.2376,4.1808,0.8398,106.2
38400,0.2205,4.453,0.8633,107.6
38912,0.2179,4.3259,0.8301,109.1
39424,0.2467,4.6257,0.8438,110.6
39936,0.2448,4.6613,0.832,112.0
40448,0.2824,4.4481,0.8516,113.5
40960,0.2571,4.3723,0.8516,114.9
41472,0.2443,4.3091,0.8691,116.4
41984,0.2432,3.9388,0.8613,117.8
42496,0.2432,4.2673,0.8379,119.2
43008,0.248,4.136,0.8574,120.7
43520,0.2369,4.083,0.834,122.1
44032,0.2347,3.8063,0.8418,123.6
44544,0.2076,4.4101,0.8594,125.0
45056,0.2109,4.0617,0.834,126.5
45568,0.2248,4.5449,0.8438,127.9
46080,0.2364,4.5037,0.8027,129.4
46592,0.24,4.2499,0.8574,130.8
47104,0.2146,3.8305,0.8164,132.3
47616,0.2097,4.2768,0.834,133.8
48128,0.2109,4.1637,0.8438,135.2
48640,0.2085,4.5628,0.8555,136.7
49152,0.2059,4.3791,0.8477,138.1
49664,0.2314,4.3937,0.8164,139.6
