episode,epsilon,mean_team_return,consensus_rate,seconds
500,0.986,0.237,0.8,1.2
1000,0.973,0.2676,0.798,2.4
1500,0.959,0.2592,0.796,3.6
2000,0.946,0.3097,0.792,4.8
2500,0.932,0.4881,0.816,6.0
3000,0.919,0.1661,0.81,7.2
3500,0.905,0.4549,0.834,8.4
4000,0.891,0.5773,0.844,9.6
4500,0.878,0.4172,0.81,10.7
5000,0.864,0.4504,0.812,11.9
5500,0.851,-0.2109,0.756,13.1
6000,0.837,0.4916,0.826,14.3
6500,0.824,0.6025,0.832,15.5
7000,0.81,0.5757,0.826,16.7
7500,0.796,0.8635,0.83,17.9
8000,0.783,0.2707,0.792,19.1
8500,0.769,0.2387,0.79,20.3
9000,0.756,0.8015,0.83,21.5
9500,0.742,0.4167,0.798,22.6
10000,0.729,0.4684,0.812,23.8
10500,0.715,1.0839,0.848,25.0
11000,0.701,0.6592,0.826,26.2
11500,0.688,0.5477,0.822,27.4
12000,0.674,0.6907,0.804,28.6
12500,0.661,0.9677,0.814,29.8
13000,0.647,0.6986,0.826,31.0
13500,0.634,0.6838,0.828,32.1
14000,0.62,0.9558,0.834,33.3
14500,0.606,0.5345,0.8,34.5
15000,0.593,1.0601,0.844,35.7
15500,0.579,0.6649,0.806,36.9
16000,0.566,0.9758,0.83,38.1
16500,0.552,0.8788,0.834,39.3
17000,0.539,0.7889,0.81,40.5
17500,0.525,0.9488,0.81,41.6
18000,0.511,0.9629,0.816,42.8
18500,0.498,1.0685,0.836,44.0
19000,0.484,0.6337,0.8,45.2
19500,0.471,1.1527,0.826,46.4
20000,0.457,1.1661,0.83,47.6
20500,0.444,1.128,0.84,48.7
21000,0.43,1.189,0.836,49.9
21500,0.416,0.9499,0.806,51.1
22000,0.403,0.8748,0.816,52.3
22500,0.389,0.9743,0.808,53.5
23000,0.376,1.4999,0.858,54.6
23500,0.362,1.0904,0.818,55.8
24000,0.349,1.1548,0.82,57.0
24500,0.335,1.2135,0.826,58.2
25000,0.321,1.2875,0.828,59.4
25500,0.308,1.3056,0.822,60.5
26000,0.294,1.2316,0.822,61.7
26500,0.281,1.4662,0.852,62.9
27000,0.267,0.9424,0.81,64.1
27500,0.254,1.5511,0.862,65.2
28000,0.24,1.3934,0.82,66.4
28500,0.226,1.3183,0.808,67.6
29000,0.213,0.7584,0.782,68.8
29500,0.199,1.3502,0.838,70.0
30000,0.186,1.2659,0.822,71.2
30500,0.172,1.4676,0.834,72.3
31000,0.159,1.0678,0.82,73.5
31500,0.145,1.1472,0.826,74.7
32000,0.131,0.9618,0.796,75.9
32500,0.118,1.1822,0.83,77.1
33000,0.104,1.1569,0.824,78.3
33500,0.091,1.6659,0.838,79.4
34000,0.077,1.7013,0.814,80.6
34500,0.064,1.7209,0.834,81.8
35000,0.05,1.6962,0.842,83.0
35500,0.05,1.3664,0.814,84.1
36000,0.05,1.3897,0.806,85.3
36500,0.05,1.7861,0.818,86.5
37000,0.05,1.5477,0.824,87.7
37500,0.05,1.406,0.796,88.9
38000,0.05,1.5427,0.824,90.0
38500,0.05,1.896,0.854,91.2
39000,0.05,0.947,0.792,92.4
39500,0.05,1.6726,0.83,93.6
40000,0.05,1.8717,0.834,94.8
40500,0.05,1.5546,0.812,95.9
41000,0.05,1.7205,0.818,97.1
41500,0.05,1.8144,0.836,98.3
42000,0.05,1.563,0.834,99.5
42500,0.05,1.152,0.804,100.7
43000,0.05,1.8089,0.836,101.8
43500,0.05,1.3454,0.786,103.0
44000,0.05,1.5244,0.814,104.2
44500,0.05,1.8833,0.838,105.4
45000,0.05,1.2832,0.778,106.6
45500,0.05,1.2951,0.8,107.8
46000,0.05,1.5108,0.796,108.9
46500,0.05,1.975,0.838,110.1
47000,0.05,1.5524,0.796,111.3
47500,0.05,1.7587,0.81,112.5
48000,0.05,1.6328,0.812,113.6
48500,0.05,1.5195,0.798,114.8
49000,0.05,1.3481,0.806,116.0
49500,0.05,1.5655,0.794,117.2
50000,0.05,1.2569,0.798,118.3
