episode,entropy,mean_team_return,consensus_rate,seconds
512,0.7426,0.5949,0.832,1.4
1024,0.6549,0.82,0.834,2.9
1536,0.6787,0.792,0.8262,4.4
2048,0.5975,1.1019,0.8457,5.8
2560,0.4922,1.1097,0.8496,7.3
3072,0.4788,0.891,0.8574,8.7
3584,0.4297,0.9784,0.8418,10.2
4096,0.4484,1.0466,0.8418,11.6
4608,0.4443,1.156,0.8379,13.1
5120,0.4808,0.7282,0.8164,14.6
5632,0.4652,0.7686,0.8105,16.0
6144,0.4229,1.1037,0.8457,17.5
6656,0.4132,1.3855,0.8438,18.9
7168,0.4224,1.6532,0.8594,20.3
7680,0.3745,1.6252,0.8145,21.7
8192,0.3581,1.2101,0.7871,23.2
8704,0.3408,1.3683,0.8242,24.6
9216,0.3292,1.5514,0.7812,26.1
9728,0.3134,1.7705,0.8203,27.5
10240,0.3047,1.6878,0.8301,28.9
10752,0.313,1.8317,0.8398,30.3
11264,0.3499,1.9813,0.8359,31.8
11776,0.3013,1.8135,0.7832,33.2
12288,0.2712,2.044,0.832,34.7
12800,0.2743,2.296,0.8047,36.2
13312,0.2858,1.8792,0.832,37.6
13824,0.2551,2.0848,0.8184,39.0
14336,0.2791,2.0823,0.8203,40.5
14848,0.2385,2.5546,0.8457,41.9
15360,0.229,1.9392,0.8125,43.4
15872,0.2479,2.379,0.8379,44.8
16384,0.2629,1.8191,0.7949,46.3
16896,0.2387,2.348,0.8145,47.8
17408,0.2594,2.4634,0.8047,49.3
17920,0.2547,2.0961,0.8125,50.7
18432,0.2483,2.4867,0.832,52.2
18944,0.2327,1.9743,0.7949,53.7
19456,0.2308,2.5267,0.8281,55.2
19968,0.2513,2.5757,0.8438,56.6
20480,0.2367,2.164,0.8203,58.1
20992,0.2363,2.5303,0.8398,59.5
21504,0.2345,2.291,0.793,61.0
22016,0.2309,2.0715,0.8105,62.5
22528,0.2398,2.2325,0.8184,63.9
23040,0.2349,2.5575,0.8477,65.4
23552,0.2279,2.3247,0.8223,66.9
24064,0.2455,2.315,0.8164,68.3
24576,0.2615,2.4612,0.8398,69.8
25088,0.2317,2.1682,0.8145,71.3
25600,0.2052,2.4622,0.8145,72.7
26112,0.2018,2.3222,0.834,74.2
26624,0.2157,2.5795,0.8379,75.7
27136,0.2179,2.03,0.8184,77.1
27648,0.2297,2.6954,0.8574,78.6
28160,0.2296,2.5347,0.8301,80.0
28672,0.2495,1.8956,0.7734,81.5
29184,0.2654,2.3018,0.8164,83.0
29696,0.24,2.215,0.8164,84.5
30208,0.2406,2.3217,0.8418,86.0
30720,0.2358,2.4664,0.8359,87.4
31232,0.2303,2.1134,0.8301,88.9
31744,0.2374,2.2572,0.8145,90.4
32256,0.2433,2.1482,0.793,91.9
32768,0.2517,2.1587,0.8398,93.3
33280,0.2112,2.3963,0.8438,94.8
33792,0.2346,2.3781,0.8203,96.3
34304,0.2185,2.639,0.8359,97.7
34816,0.2205,2.8242,0.8516,99.2
35328,0.2682,2.1535,0.832,100.6
35840,0.249,2.2761,0.8223,102.1
36352,0.1965,2.2722,0.8125,103.6
36864,0.237,2.5395,0.834,105.1
37376,0.2342,2.5159,0.8242,106.5
37888,0.2516,2.3056,0.8086,108.0
38400,0.27,2.5019,0.8496,109.5
38912,0.2215,1.9606,0.8047,111.0
39424,0.236,2.6001,0.8301,112.4
39936,0.2393,2.8615,0.834,113.9
40448,0.2712,2.6582,0.8164,115.4
40960,0.2897,2.2868,0.8203,116.9
41472,0.2638,2.707,0.8574,118.4
41984,0.2453,2.1537,0.8086,119.9
42496,0.2787,2.2579,0.8164,121.4
43008,0.2393,2.4822,0.8516,122.8
43520,0.2543,2.2057,0.793,124.4
44032,0.2255,2.2353,0.8223,125.9
44544,0.2243,2.5485,0.8516,127.4
45056,0.2206,1.9981,0.8047,128.9
45568,0.2241,2.1464,0.8086,130.4
46080,0.2241,2.594,0.8203,131.9
46592,0.2227,2.645,0.8359,133.4
47104,0.2241,2.3392,0.8125,135.0
47616,0.2468,2.5084,0.8262,136.5
48128,0.2485,2.2112,0.8145,138.0
48640,0.2346,2.384,0.8262,139.5
49152,0.2177,2.3664,0.832,141.0
49664,0.206,2.5246,0.8086,142.5
