episode,entropy,mean_team_return,consensus_rate,seconds
512,0.7352,0.4407,0.8301,1.4
1024,0.7142,0.5617,0.8184,2.9
1536,0.693,0.6105,0.8203,4.3
2048,0.6636,1.0152,0.8359,5.8
2560,0.5699,1.0438,0.8457,7.2
3072,0.5868,0.9032,0.8555,8.6
3584,0.534,0.9799,0.8438,10.0
4096,0.5285,1.1481,0.8457,11.5
4608,0.5221,1.1916,0.834,12.9
5120,0.487,0.7501,0.8086,14.3
5632,0.4507,0.8116,0.7988,15.8
6144,0.4578,1.2181,0.8438,17.2
6656,0.4331,1.2197,0.834,18.6
7168,0.4264,1.4084,0.8555,20.0
7680,0.4078,1.4082,0.832,21.5
8192,0.3639,0.9988,0.8047,22.9
8704,0.3503,1.2678,0.8145,24.4
9216,0.3307,1.3463,0.8047,25.8
9728,0.3226,1.4674,0.8223,27.3
10240,0.2726,1.0693,0.7969,28.7
10752,0.2633,1.5804,0.8262,30.1
11264,0.2932,1.9758,0.8262,31.5
11776,0.3099,1.6666,0.8125,33.0
12288,0.2838,1.8061,0.791,34.5
12800,0.2543,2.0209,0.832,35.9
13312,0.2363,1.7054,0.8203,37.4
13824,0.2358,1.8495,0.8223,38.8
14336,0.2013,1.7885,0.8125,40.3
14848,0.1701,2.2595,0.832,41.8
15360,0.148,1.5992,0.8105,43.2
15872,0.1653,2.2622,0.8496,44.7
16384,0.1875,1.6735,0.791,46.2
16896,0.1459,2.1094,0.8262,47.6
17408,0.1831,2.2475,0.8145,49.1
17920,0.1562,1.8713,0.8086,50.6
18432,0.1638,2.288,0.8398,52.1
18944,0.1085,1.6773,0.7793,53.6
19456,0.1238,2.2153,0.8242,55.1
19968,0.1384,2.239,0.8086,56.5
20480,0.1239,1.9366,0.8281,58.0
20992,0.1116,2.2953,0.8438,59.4
21504,0.1261,2.163,0.7949,60.9
22016,0.1244,1.8982,0.8164,62.4
22528,0.128,1.9596,0.8086,63.9
23040,0.1346,2.4258,0.8555,65.4
23552,0.1174,2.1029,0.8145,66.8
24064,0.1256,2.1128,0.8086,68.3
24576,0.152,2.371,0.8633,69.7
25088,0.1356,2.2204,0.8008,71.2
25600,0.1068,2.344,0.8301,72.7
26112,0.0923,2.0998,0.8398,74.2
26624,0.1279,2.3936,0.8398,75.6
27136,0.1315,1.8789,0.8184,77.1
27648,0.1271,2.4702,0.8379,78.6
28160,0.1272,2.3584,0.834,80.0
28672,0.1271,1.7287,0.7793,81.5
29184,0.1583,2.1494,0.8184,83.0
29696,0.1214,2.009,0.8027,84.5
30208,0.094,2.2352,0.832,86.0
30720,0.0957,2.1078,0.832,87.4
31232,0.11,1.997,0.834,88.9
31744,0.1257,2.0791,0.8145,90.4
32256,0.1217,2.0096,0.7949,91.9
32768,0.1477,2.0508,0.834,93.3
33280,0.1015,2.3821,0.8555,94.8
33792,0.1079,2.307,0.8105,96.2
34304,0.1096,2.4472,0.8359,97.7
34816,0.1273,2.6898,0.8496,99.2
35328,0.1409,2.0309,0.8301,100.6
35840,0.1509,2.2139,0.8164,102.1
36352,0.0926,2.1043,0.8105,103.6
36864,0.174,2.2631,0.8242,105.1
37376,0.1939,2.4542,0.8184,106.6
37888,0.2663,2.1104,0.8086,108.1
38400,0.2716,2.2919,0.8516,109.5
38912,0.2004,1.804,0.8105,111.0
39424,0.1769,2.2494,0.8242,112.5
39936,0.1622,2.6723,0.8184,114.0
40448,0.1783,2.5152,0.8223,115.5
40960,0.1925,2.1996,0.8223,117.0
41472,0.207,2.5444,0.8496,118.4
41984,0.203,2.0046,0.8203,119.9
42496,0.2528,2.0959,0.8047,121.4
43008,0.2567,2.2808,0.8359,122.8
43520,0.2611,1.7606,0.7871,124.3
44032,0.2404,2.2728,0.8066,125.8
44544,0.2323,2.688,0.8418,127.3
45056,0.2163,1.9102,0.8027,128.9
45568,0.2461,1.9712,0.8066,130.4
46080,0.2817,2.4172,0.8262,131.9
46592,0.2471,2.5622,0.8418,133.4
47104,0.1601,2.2256,0.8008,134.9
47616,0.1493,2.2012,0.8262,136.4
48128,0.155,2.1432,0.8145,137.9
48640,0.1537,2.1868,0.8223,139.4
49152,0.1198,2.1678,0.8262,140.9
49664,0.0982,2.3369,0.8047,142.5
