episode,epsilon,mean_team_return,consensus_rate,seconds
500,0.986,0.0898,0.808,1.2
1000,0.973,0.1539,0.806,2.4
1500,0.959,-0.0128,0.784,3.6
2000,0.946,0.186,0.796,4.8
2500,0.932,0.4167,0.824,6.0
3000,0.919,0.2294,0.82,7.2
3500,0.905,0.23,0.82,8.4
4000,0.891,0.4402,0.832,9.6
4500,0.878,0.2889,0.814,10.8
5000,0.864,0.3008,0.812,12.0
5500,0.851,-0.304,0.764,13.2
6000,0.837,0.3867,0.824,14.4
6500,0.824,0.3816,0.83,15.6
7000,0.81,0.5218,0.838,16.8
7500,0.796,0.6763,0.836,18.0
8000,0.783,0.0911,0.79,19.2
8500,0.769,-0.0112,0.792,20.4
9000,0.756,0.4466,0.822,21.5
9500,0.742,0.2524,0.8,22.7
10000,0.729,0.4609,0.826,23.9
10500,0.715,0.8115,0.846,25.1
11000,0.701,0.4218,0.828,26.3
11500,0.688,0.4181,0.82,27.5
12000,0.674,0.5133,0.81,28.7
12500,0.661,0.6675,0.822,29.9
13000,0.647,0.6334,0.822,31.1
13500,0.634,0.4773,0.826,32.2
14000,0.62,0.7576,0.834,33.4
14500,0.606,0.4936,0.81,34.6
15000,0.593,0.7735,0.842,35.8
15500,0.579,0.5637,0.82,37.0
16000,0.566,0.6621,0.82,38.2
16500,0.552,0.4847,0.816,39.4
17000,0.539,0.7351,0.814,40.5
17500,0.525,0.831,0.832,41.7
18000,0.511,0.7025,0.818,42.9
18500,0.498,0.8911,0.838,44.1
19000,0.484,0.442,0.792,45.3
19500,0.471,0.8577,0.83,46.5
20000,0.457,0.9854,0.844,47.7
20500,0.444,0.7092,0.83,48.8
21000,0.43,1.0101,0.824,50.0
21500,0.416,0.852,0.796,51.2
22000,0.403,0.7854,0.816,52.4
22500,0.389,0.9029,0.816,53.6
23000,0.376,1.2002,0.846,54.8
23500,0.362,0.9219,0.82,56.0
24000,0.349,1.0274,0.828,57.2
24500,0.335,0.9404,0.836,58.4
25000,0.321,1.1522,0.824,59.5
25500,0.308,1.113,0.824,60.7
26000,0.294,1.0469,0.824,61.9
26500,0.281,1.3172,0.85,63.1
27000,0.267,0.6452,0.808,64.3
27500,0.254,1.3604,0.852,65.5
28000,0.24,1.3768,0.828,66.7
28500,0.226,0.9745,0.814,67.9
29000,0.213,0.8685,0.792,69.1
29500,0.199,1.4392,0.836,70.2
30000,0.186,0.9572,0.808,71.4
30500,0.172,1.4123,0.828,72.6
31000,0.159,1.0333,0.826,73.8
31500,0.145,1.1773,0.828,75.0
32000,0.131,0.7052,0.792,76.2
32500,0.118,1.1843,0.82,77.4
33000,0.104,1.0178,0.832,78.5
33500,0.091,1.415,0.848,79.7
34000,0.077,1.5096,0.828,80.9
34500,0.064,1.6401,0.824,82.1
35000,0.05,1.6519,0.85,83.3
35500,0.05,1.0492,0.802,84.4
36000,0.05,1.2482,0.818,85.6
36500,0.05,1.551,0.806,86.8
37000,0.05,1.3723,0.824,88.0
37500,0.05,1.4988,0.81,89.2
38000,0.05,1.3957,0.822,90.3
38500,0.05,1.5475,0.85,91.5
39000,0.05,0.8996,0.796,92.7
39500,0.05,1.4322,0.822,93.9
40000,0.05,1.9391,0.834,95.0
40500,0.05,1.3959,0.81,96.2
41000,0.05,1.1634,0.806,97.4
41500,0.05,1.6608,0.852,98.6
42000,0.05,1.2967,0.822,99.7
42500,0.05,1.3315,0.806,100.9
43000,0.05,1.6391,0.848,102.1
43500,0.05,1.0876,0.79,103.3
44000,0.05,1.3899,0.814,104.5
44500,0.05,1.5781,0.83,105.7
45000,0.05,0.8028,0.782,106.8
45500,0.05,1.2484,0.806,108.0
46000,0.05,1.1962,0.796,109.2
46500,0.05,1.5209,0.84,110.4
47000,0.05,1.2926,0.802,111.6
47500,0.05,1.2098,0.83,112.8
48000,0.05,1.189,0.822,113.9
48500,0.05,1.051,0.83,115.1
49000,0.05,0.6913,0.812,116.3
49500,0.05,0.8737,0.798,117.5
50000,0.05,0.8374,0.806,118.7
