episode,entropy,mean_team_return,consensus_rate,seconds
512,0.7846,1.1501,0.834,1.5
1024,0.7131,1.558,0.8145,2.9
1536,0.6696,1.8918,0.8438,4.3
2048,0.5994,1.8758,0.834,5.7
2560,0.5392,2.0882,0.8516,7.2
3072,0.489,2.1987,0.8516,8.6
3584,0.4516,2.5412,0.8262,10.0
4096,0.4135,2.769,0.8281,11.4
4608,0.3719,2.9696,0.8242,12.8
5120,0.355,2.8431,0.8301,14.2
5632,0.2986,3.2341,0.7773,15.6
6144,0.2913,3.2262,0.8555,17.0
6656,0.2953,3.1084,0.834,18.4
7168,0.2611,3.1999,0.834,19.8
7680,0.2588,3.4207,0.8145,21.2
8192,0.2528,3.3733,0.8066,22.7
8704,0.2377,3.5803,0.8145,24.1
9216,0.2551,3.5492,0.8047,25.5
9728,0.2274,3.7477,0.8105,27.0
10240,0.2217,3.197,0.7754,28.4
10752,0.2318,3.4671,0.8281,29.9
11264,0.2574,3.8123,0.8359,31.3
11776,0.2234,3.5935,0.8398,32.7
12288,0.2409,3.5572,0.7969,34.2
12800,0.2533,3.7813,0.8047,35.7
13312,0.2192,3.7286,0.834,37.1
13824,0.195,3.7082,0.834,38.5
14336,0.1994,3.9659,0.8184,40.0
14848,0.2242,3.8478,0.8555,41.4
15360,0.1997,4.1435,0.8379,42.9
15872,0.2109,3.8722,0.8652,44.3
16384,0.2057,4.2959,0.8418,45.8
16896,0.1755,4.3549,0.8262,47.2
17408,0.1717,4.1852,0.8125,48.7
17920,0.1767,3.7983,0.8086,50.1
18432,0.2214,4.1765,0.8516,51.6
18944,0.2041,3.9043,0.834,53.0
19456,0.2094,4.0847,0.8203,54.5
19968,0.2105,4.1592,0.8516,55.9
20480,0.1827,3.825,0.834,57.4
20992,0.1599,4.0986,0.8477,58.8
21504,0.1714,4.5693,0.8047,60.3
22016,0.1498,3.9998,0.8281,61.7
22528,0.1459,3.9954,0.8066,63.2
23040,0.1399,4.2047,0.8594,64.6
23552,0.1296,3.895,0.8086,66.1
24064,0.1315,4.0582,0.8281,67.5
24576,0.1564,4.0305,0.8613,68.9
25088,0.1316,4.0497,0.8184,70.4
25600,0.1064,4.0487,0.8418,71.8
26112,0.0869,3.8263,0.8477,73.2
26624,0.1079,4.0487,0.8516,74.7
27136,0.1253,4.0603,0.8555,76.1
27648,0.125,4.0572,0.8457,77.5
28160,0.1261,4.0096,0.8203,79.0
28672,0.1302,3.9803,0.791,80.5
29184,0.1286,3.9257,0.8145,81.9
29696,0.1039,4.3156,0.832,83.4
30208,0.1016,4.0641,0.8594,84.8
30720,0.1226,4.2441,0.8418,86.3
31232,0.1393,4.1562,0.8613,87.7
31744,0.1715,4.0306,0.8418,89.2
32256,0.1821,4.057,0.8145,90.6
32768,0.1779,3.9068,0.8438,92.1
33280,0.1193,4.2745,0.8691,93.5
33792,0.1182,4.1952,0.8242,95.0
34304,0.1334,4.2781,0.8359,96.4
34816,0.1418,4.4621,0.8301,97.9
35328,0.1682,3.5734,0.8457,99.3
35840,0.1394,3.7513,0.8477,100.8
36352,0.0813,4.4218,0.8594,102.2
36864,0.0889,4.2083,0.8066,103.7
37376,0.0966,4.2395,0.8242,105.1
37888,0.1261,3.9749,0.832,106.6
38400,0.133,4.3623,0.8613,108.0
38912,0.0841,4.1303,0.8086,109.4
39424,0.0881,4.2125,0.8418,110.9
39936,0.0873,4.3386,0.8555,112.3
40448,0.0969,4.2289,0.8398,113.8
40960,0.1081,4.2499,0.8379,115.3
41472,0.0648,4.233,0.8535,116.7
41984,0.0682,4.0157,0.8359,118.1
42496,0.0914,3.7942,0.8242,119.6
43008,0.0833,3.7401,0.8516,121.0
43520,0.0918,3.8511,0.8164,122.4
44032,0.103,3.7481,0.832,123.9
44544,0.1152,4.5988,0.8438,125.3
45056,0.1382,3.9694,0.8203,126.8
45568,0.1775,4.0665,0.8438,128.2
46080,0.1766,3.9997,0.832,129.7
46592,0.1871,4.0898,0.8555,131.1
47104,0.2126,3.7753,0.8086,132.6
47616,0.2348,4.0037,0.8262,134.1
48128,0.2331,3.9676,0.8398,135.5
48640,0.221,4.3072,0.8535,136.9
49152,0.2185,4.0064,0.8379,138.4
49664,0.2237,4.0893,0.8125,139.8
