episode,entropy,mean_team_return,consensus_rate,seconds
512,0.773,1.1138,0.832,1.4
1024,0.7288,1.5129,0.8164,2.9
1536,0.6817,1.7796,0.8496,4.3
2048,0.6531,1.5818,0.834,5.8
2560,0.611,1.7371,0.8262,7.2
3072,0.6111,1.6657,0.8379,8.7
3584,0.5901,1.6506,0.8203,10.2
4096,0.6081,1.8587,0.8477,11.7
4608,0.5997,1.929,0.8535,13.2
5120,0.5902,1.7396,0.8359,14.6
5632,0.5833,1.6943,0.8223,16.1
6144,0.5644,1.908,0.8613,17.6
6656,0.5438,1.7797,0.8203,19.0
7168,0.5362,1.8788,0.834,20.5
7680,0.5389,1.8374,0.8027,22.0
8192,0.4639,1.6916,0.7734,23.5
8704,0.4884,1.8038,0.8125,24.9
9216,0.4864,1.697,0.8066,26.3
9728,0.4305,1.8363,0.8086,27.7
10240,0.4352,1.7198,0.8066,29.1
10752,0.4325,1.7284,0.8066,30.5
11264,0.4411,1.8562,0.8105,32.0
11776,0.4403,1.8529,0.8301,33.4
12288,0.4556,1.839,0.8262,34.9
12800,0.4517,1.8333,0.8359,36.3
13312,0.4527,1.9736,0.8438,37.7
13824,0.3985,1.7919,0.8047,39.1
14336,0.3719,1.8483,0.8125,40.6
14848,0.4607,1.9496,0.8223,42.1
15360,0.5196,2.0653,0.8438,43.5
15872,0.5254,1.9619,0.8359,45.0
16384,0.5252,1.8679,0.8301,46.4
16896,0.5021,1.9231,0.8379,47.8
17408,0.4851,1.9011,0.832,49.3
17920,0.4558,1.5892,0.8086,50.7
18432,0.4351,1.831,0.8184,52.2
18944,0.4532,1.8526,0.8438,53.6
19456,0.476,1.8191,0.8398,55.0
19968,0.4309,1.9682,0.8496,56.5
20480,0.41,1.9538,0.8477,57.9
20992,0.3671,1.8874,0.8359,59.3
21504,0.3786,1.798,0.8164,60.7
22016,0.3398,1.9124,0.8262,62.1
22528,0.335,1.8974,0.8223,63.6
23040,0.3373,2.001,0.8457,64.9
23552,0.2577,1.9238,0.8125,66.4
24064,0.3014,1.928,0.832,67.8
24576,0.3414,1.8731,0.8281,69.2
25088,0.4059,1.9064,0.8262,70.6
25600,0.3341,2.0261,0.8652,72.0
26112,0.2934,1.9023,0.8457,73.3
26624,0.2733,1.8575,0.8184,74.7
27136,0.2588,1.8496,0.8438,76.1
27648,0.2389,1.8913,0.8379,77.5
28160,0.2618,1.8025,0.8066,78.9
28672,0.2793,1.7694,0.7891,80.4
29184,0.3427,1.8739,0.8145,81.8
29696,0.262,1.874,0.8359,83.3
30208,0.2867,1.8155,0.8379,84.7
30720,0.323,1.82,0.8438,86.1
31232,0.3335,1.996,0.8438,87.6
31744,0.3893,1.8368,0.8281,88.9
32256,0.3733,1.8675,0.8125,90.4
32768,0.384,1.8918,0.8496,91.8
33280,0.3167,2.1,0.8848,93.1
33792,0.359,1.9292,0.8164,94.5
34304,0.3479,1.829,0.8047,95.9
34816,0.2763,1.8072,0.8047,97.4
35328,0.2764,1.7572,0.8262,98.8
35840,0.2531,1.8009,0.8125,100.2
36352,0.2805,1.8484,0.8086,101.6
36864,0.2419,1.7724,0.8242,103.0
37376,0.2799,1.8758,0.8281,104.4
37888,0.309,1.893,0.8262,105.8
38400,0.3502,1.9231,0.8457,107.2
38912,0.338,1.8064,0.832,108.6
39424,0.3749,1.9739,0.8398,110.1
39936,0.3937,1.9258,0.8613,111.5
40448,0.4383,1.9917,0.8379,112.9
40960,0.4518,1.993,0.8223,114.4
41472,0.3831,1.8225,0.8398,115.8
41984,0.381,1.7968,0.8281,117.3
42496,0.4179,1.9064,0.8418,118.7
43008,0.4174,1.9588,0.8359,120.1
43520,0.3842,1.8779,0.8516,121.5
44032,0.4039,1.8124,0.8105,122.9
44544,0.4386,1.9439,0.8652,124.3
45056,0.3734,1.8817,0.8281,125.7
45568,0.4022,1.9403,0.8281,127.2
46080,0.418,1.8233,0.8223,128.6
46592,0.4152,2.0144,0.8574,130.1
47104,0.3536,1.9226,0.8418,131.5
47616,0.3443,1.8687,0.8418,132.9
48128,0.361,1.9718,0.8457,134.3
48640,0.3141,1.9996,0.8594,135.7
49152,0.348,1.9309,0.8477,137.0
49664,0.3439,1.7671,0.8086,138.5
